dataset,granularity,family,model,fold,method,ece,auc,n_test,n_students
algebra2005,question,classical,bkt,4,platt,0.011607924737039421,0.7508026536652177,93595,114
algebra2005,question,classical,bkt,4,isotonic,0.006502154496033667,0.751787107875339,93595,114
algebra2005,question,classical,bkt,4,temperature,0.010123306250107402,0.7508052282563558,93595,114
algebra2005,question,classical,pfa,0,none,0.03289777408588202,0.7381122502813534,93595,114
algebra2005,question,classical,pfa,0,platt,0.018107503373279963,0.7381122502813533,93595,114
algebra2005,question,classical,pfa,0,isotonic,0.01320170721342882,0.7383166074066778,93595,114
algebra2005,question,classical,pfa,0,temperature,0.05418289775949529,0.7381122484213235,93595,114
algebra2005,question,classical,pfa,1,none,0.03531520490245504,0.7380676988494875,93595,114
algebra2005,question,classical,pfa,1,platt,0.021192292923012626,0.7380676988494874,93595,114
algebra2005,question,classical,pfa,1,isotonic,0.017406892487471258,0.7380656822672654,93595,114
algebra2005,question,classical,pfa,1,temperature,0.05406897471911334,0.7380677007095171,93595,114
algebra2005,question,classical,pfa,2,none,0.03593191749589054,0.7369923505670134,93595,114
algebra2005,question,classical,pfa,2,platt,0.01322099985578923,0.7369923505670133,93595,114
algebra2005,question,classical,pfa,2,isotonic,0.003996781999085031,0.7371134555520917,93595,114
algebra2005,question,classical,pfa,2,temperature,0.04997690776826436,0.7369923505670133,93595,114
algebra2005,question,classical,pfa,3,none,0.03302954771471978,0.7372404134306909,93595,114
algebra2005,question,classical,pfa,3,platt,0.011701781261693826,0.7372404134306908,93595,114
algebra2005,question,classical,pfa,3,isotonic,0.00524731946135073,0.7377630603918157,93595,114
algebra2005,question,classical,pfa,3,temperature,0.04376134618414196,0.7372404134306908,93595,114
algebra2005,question,classical,pfa,4,none,0.03752134876530182,0.7368568796423884,93595,114
algebra2005,question,classical,pfa,4,platt,0.008729436195264152,0.7368568796423884,93595,114
algebra2005,question,classical,pfa,4,isotonic,0.006212237989740156,0.7371181391069281,93595,114
algebra2005,question,classical,pfa,4,temperature,0.04509301524102619,0.7368568796423884,93595,114
algebra2005,question,classical,pfa_recency,0,none,0.03593917063661292,0.7413864770286509,93595,114
algebra2005,question,classical,pfa_recency,0,platt,0.017868699923528266,0.7413864770286509,93595,114
algebra2005,question,classical,pfa_recency,0,isotonic,0.012892235475268115,0.7412379924060863,93595,114
algebra2005,question,classical,pfa_recency,0,temperature,0.06634123617953233,0.7413864770286509,93595,114
algebra2005,question,classical,pfa_recency,1,none,0.036694265480430775,0.7413928383302951,93595,114
