dataset,granularity,model,fold,method,ece,best_lambda,n_concepts,n_concepts_fitted,share_rows_with_own_curve,n_test
assist2009,concept,simplekt,0,concept_aware_lambda0,0.015351561199641222,inf,116,92,0.9913575859395193,61904
assist2009,concept,simplekt,0,concept_aware_eb,0.008911323067060573,inf,116,92,0.9913575859395193,61904
assist2009,concept,simplekt,0,difficulty_bucket,0.009445515041770823,inf,116,92,0.9913575859395193,61904
assist2009,concept,simplekt,1,none,0.09806807461820578,100000.0,113,93,0.9899683380718531,61904
assist2009,concept,simplekt,1,isotonic,0.014142313464119267,100000.0,113,93,0.9899683380718531,61904
assist2009,concept,simplekt,1,concept_aware_lambda0,0.018177342870113695,100000.0,113,93,0.9899683380718531,61904
assist2009,concept,simplekt,1,concept_aware_eb,0.014127229747951683,100000.0,113,93,0.9899683380718531,61904
assist2009,concept,simplekt,1,difficulty_bucket,0.013734575948605436,100000.0,113,93,0.9899683380718531,61904
assist2009,concept,simplekt,2,none,0.011859834272036011,5000.0,118,101,0.9964622641509434,61904
assist2009,concept,simplekt,2,isotonic,0.013109220761979163,5000.0,118,101,0.9964622641509434,61904
assist2009,concept,simplekt,2,concept_aware_lambda0,0.02015861949044689,5000.0,118,101,0.9964622641509434,61904
assist2009,concept,simplekt,2,concept_aware_eb,0.013856940673967647,5000.0,118,101,0.9964622641509434,61904
assist2009,concept,simplekt,2,difficulty_bucket,0.013263633128449736,5000.0,118,101,0.9964622641509434,61904
assist2009,concept,simplekt,3,none,0.03321059344688673,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,simplekt,3,isotonic,0.012930191194322064,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,simplekt,3,concept_aware_lambda0,0.018622153336636155,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,simplekt,3,concept_aware_eb,0.01278018535503698,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,simplekt,3,difficulty_bucket,0.012413500684554471,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,simplekt,4,none,0.08653906019980608,inf,112,94,0.991276815714655,61904
assist2009,concept,simplekt,4,isotonic,0.007397662706469685,inf,112,94,0.991276815714655,61904
assist2009,concept,simplekt,4,concept_aware_lambda0,0.012981562932247278,inf,112,94,0.991276815714655,61904
assist2009,concept,simplekt,4,concept_aware_eb,0.007397662706469685,inf,112,94,0.991276815714655,61904
