dataset,granularity,family,model,fold,method,axis,quartile,ece,n_rows,n_students,ece_overall,selected_on_outcome
algebra2005,concept,deep,simplekt,0,platt,ability_prefix5,1,0.013726847120175524,62539,62,0.011058797468639255,False
algebra2005,concept,deep,simplekt,0,isotonic,ability_prefix5,0,0.0024401566855999065,71565,52,0.005933341732337101,False
algebra2005,concept,deep,simplekt,0,isotonic,ability_prefix5,1,0.012196942562728188,62539,62,0.005933341732337101,False
algebra2005,concept,deep,simplekt,0,temperature,ability_prefix5,0,0.017754413147898555,71565,52,0.02030096635256318,False
algebra2005,concept,deep,simplekt,0,temperature,ability_prefix5,1,0.025287177934950333,62539,62,0.02030096635256318,False
algebra2005,concept,deep,simplekt,0,none,ability_prefix10,0,0.021773744178256203,64555,51,0.0237420020763714,False
algebra2005,concept,deep,simplekt,0,none,ability_prefix10,1,0.025584024845805898,68979,63,0.0237420020763714,False
algebra2005,concept,deep,simplekt,0,platt,ability_prefix10,0,0.011627151874840503,64555,51,0.010990064958171047,False
algebra2005,concept,deep,simplekt,0,platt,ability_prefix10,1,0.015032152265359483,68979,63,0.010990064958171047,False
algebra2005,concept,deep,simplekt,0,isotonic,ability_prefix10,0,0.003973269500190133,64555,51,0.005780575865207936,False
algebra2005,concept,deep,simplekt,0,isotonic,ability_prefix10,1,0.01394616798130686,68979,63,0.005780575865207936,False
algebra2005,concept,deep,simplekt,0,temperature,ability_prefix10,0,0.016387791991093473,64555,51,0.02017968129877795,False
algebra2005,concept,deep,simplekt,0,temperature,ability_prefix10,1,0.026909746199382103,68979,63,0.02017968129877795,False
algebra2005,concept,deep,simplekt,0,none,ability_all_rows,0,0.021492852719411884,76950,57,0.0237420020763714,True
algebra2005,concept,deep,simplekt,0,none,ability_all_rows,1,0.032393650796769154,56584,57,0.0237420020763714,True
algebra2005,concept,deep,simplekt,0,platt,ability_all_rows,0,0.01028714014023298,76950,57,0.010990064958171047,True
algebra2005,concept,deep,simplekt,0,platt,ability_all_rows,1,0.02781850882429064,56584,57,0.010990064958171047,True
algebra2005,concept,deep,simplekt,0,isotonic,ability_all_rows,0,0.009939257222242197,76950,57,0.005780575865207936,True
algebra2005,concept,deep,simplekt,0,isotonic,ability_all_rows,1,0.02712921654992189,56584,57,0.005780575865207936,True
algebra2005,concept,deep,simplekt,0,temperature,ability_all_rows,0,0.011965743630910757,76950,57,0.02017968129877795,True
algebra2005,concept,deep,simplekt,0,temperature,ability_all_rows,1,0.038603537314034826,56584,57,0.02017968129877795,True
algebra2005,concept,deep,simplekt,0,none,ability_prefix20,0,0.021252597039304696,59776,52,0.02371503102132396,False
algebra2005,concept,deep,simplekt,0,none,ability_prefix20,1,0.025741972368756215,72619,61,0.02371503102132396,False
