dataset,granularity,fold,contrast_type,model_a,method_a,family_a,model_b,method_b,family_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,pairing,family_key,p_holm,reject_holm,family_size
assist2012,question,3,within_deep,dkt,isotonic,deep,akt,platt,deep,0.0019038974930571252,0.0020207078387291673,-0.00011681034567204217,-0.0010448449974694947,0.0012696052983122,0.8773122687731227,5497,paired,question|f3|within_deep,1.0,False,6
assist2012,question,3,cross_family,dkt,isotonic,deep,pfa_recency,isotonic,classical,0.0019038974930571252,0.0022403351144013174,-0.0003364376213441922,-0.0022195857253523225,0.000967840592554443,0.49375062493750627,5497,unpaired_shared_students,question|f3|cross_family,1.0,False,6
assist2012,question,4,within_deep,akt,platt,deep,dkt,platt,deep,0.0005830923339792169,0.0012045871482757441,-0.0006214948142965272,-0.0014476146973693112,0.0007113000124783251,0.4941505849415059,5497,paired,question|f4|within_deep,1.0,False,6
assist2012,question,4,cross_family,akt,platt,deep,elorasch,isotonic,classical,0.0005830923339792169,0.0022715455373944022,-0.0016884532034151852,-0.00277524936916883,0.00046440965095365344,0.1887811218878112,5497,unpaired_shared_students,question|f4|cross_family,0.7551244875512448,False,6
assist2015,concept,0,within_deep,akt,isotonic,deep,dkt,isotonic,deep,0.0035757968905397153,0.003941079160364768,-0.00036528226982505225,-0.002137304545986019,0.0018247749950926484,0.938906109389061,3818,paired,concept|f0|within_deep,1.0,False,7
assist2015,concept,1,within_deep,akt,platt,deep,dkt,isotonic,deep,0.003769844670262703,0.0038106940958486327,-4.08494255859297e-05,-0.0018104741391312912,0.0015396806033733381,0.9703029697030296,3818,paired,concept|f1|within_deep,1.0,False,7
assist2015,concept,2,within_deep,akt,platt,deep,dkt,platt,deep,0.003055995321078736,0.00407677770689845,-0.0010207823858197139,-0.0030862947811030024,0.0011102152243638761,0.39616038396160386,3818,paired,concept|f2|within_deep,1.0,False,7
assist2015,concept,3,within_deep,dkt,isotonic,deep,akt,platt,deep,0.002230945009480464,0.0026009370300525214,-0.0003699920205720575,-0.0024259270761345483,0.0023184090613541904,0.9955004499550045,3818,paired,concept|f3|within_deep,1.0,False,7
assist2015,concept,4,within_deep,dkt,temperature,deep,akt,temperature,deep,0.002510625399840724,0.0042781025504053175,-0.0017674771505645933,-0.004252008003124039,0.0017441893102032946,0.39516048395160486,3818,paired,concept|f4|within_deep,1.0,False,7
assist2017,concept,0,within_deep,simplekt,isotonic,deep,sakt,isotonic,deep,0.0035288128544684557,0.00375373684844051,-0.0002249239939720541,-0.0035829714489975122,0.0026463784979272632,0.8577142285771423,341,paired,concept|f0|within_deep,1.0,False,7
