dataset,model,fold,method,ece,auc,brier,n_test
assist2017,dkt,0,none,0.013527,0.716836,0.201318,177767
assist2017,dkt,0,platt,0.004975,0.716836,0.201063,177767
assist2017,dkt,0,isotonic,0.005651,0.716772,0.201128,177767
assist2017,dkt,0,temperature,0.014528,0.716836,0.20131,177767
assist2017,dkt,1,none,0.022193,0.716318,0.201977,177767
assist2017,dkt,1,platt,0.004792,0.716318,0.201275,177767
assist2017,dkt,1,isotonic,0.004963,0.716138,0.201373,177767
assist2017,dkt,1,temperature,0.024976,0.716318,0.201973,177767
assist2017,dkt,2,none,0.011072,0.713119,0.202184,177767
assist2017,dkt,2,platt,0.005989,0.713119,0.202091,177767
assist2017,dkt,2,isotonic,0.00503,0.712923,0.202157,177767
assist2017,dkt,2,temperature,0.011342,0.713119,0.202188,177767
assist2017,dkt,3,none,0.015397,0.716586,0.201484,177767
assist2017,dkt,3,platt,0.004775,0.716586,0.201218,177767
assist2017,dkt,3,isotonic,0.003424,0.716494,0.201269,177767
assist2017,dkt,3,temperature,0.015497,0.716586,0.201485,177767
assist2017,dkt,4,none,0.023149,0.713289,0.202745,177767
assist2017,dkt,4,platt,0.00452,0.713289,0.202066,177767
assist2017,dkt,4,isotonic,0.005679,0.713185,0.202105,177767
assist2017,dkt,4,temperature,0.025489,0.713289,0.202778,177767
assist2017,sakt,0,none,0.010705,0.653685,0.21583,177767
assist2017,sakt,0,platt,0.005227,0.653685,0.215706,177767
assist2017,sakt,0,isotonic,0.003754,0.653435,0.215745,177767
assist2017,sakt,0,temperature,0.009835,0.653685,0.21581,177767
assist2017,sakt,1,none,0.011052,0.653277,0.215953,177767
assist2017,sakt,1,platt,0.005026,0.653277,0.215796,177767
assist2017,sakt,1,isotonic,0.003162,0.653111,0.215836,177767
assist2017,sakt,1,temperature,0.009482,0.653277,0.215874,177767
assist2017,sakt,2,none,0.012639,0.653932,0.215958,177767
assist2017,sakt,2,platt,0.004843,0.653932,0.215701,177767
assist2017,sakt,2,isotonic,0.00384,0.653862,0.215738,177767
assist2017,sakt,2,temperature,0.008326,0.653932,0.215772,177767
assist2017,sakt,3,none,0.008514,0.652367,0.216161,177767
assist2017,sakt,3,platt,0.006293,0.652367,0.216072,177767
assist2017,sakt,3,isotonic,0.003691,0.652273,0.216086,177767
assist2017,sakt,3,temperature,0.007358,0.652367,0.216076,177767
assist2017,sakt,4,none,0.010438,0.651551,0.216333,177767
assist2017,sakt,4,platt,0.004285,0.651551,0.216238,177767
assist2017,sakt,4,isotonic,0.005563,0.651201,0.216328,177767
assist2017,sakt,4,temperature,0.004425,0.651551,0.216235,177767
assist2017,simplekt,0,none,0.028142,0.754975,0.189852,177767
assist2017,simplekt,0,platt,0.00394,0.754975,0.188689,177767
