dataset,granularity,family,model,fold,method,ece_equal_width,ece_equal_mass,best_equal_width,best_equal_mass
algebra2005,question,classical,pfa_recency,1,none,0.036694265480430775,0.04151450830609853,isotonic,isotonic
algebra2005,question,classical,pfa_recency,1,platt,0.022698295766369187,0.025176274369427737,isotonic,isotonic
algebra2005,question,classical,pfa_recency,1,isotonic,0.01742381203563955,0.01597312783909189,isotonic,isotonic
algebra2005,question,classical,pfa_recency,1,temperature,0.06604391266878284,0.06604391266878298,isotonic,isotonic
algebra2005,question,classical,pfa_recency,2,none,0.03676533641493106,0.03704893528248345,isotonic,isotonic
algebra2005,question,classical,pfa_recency,2,platt,0.019417566989879415,0.02081956355330191,isotonic,isotonic
algebra2005,question,classical,pfa_recency,2,isotonic,0.00521198563245547,0.0053705634577657715,isotonic,isotonic
algebra2005,question,classical,pfa_recency,2,temperature,0.058178086402038934,0.05817808640203875,isotonic,isotonic
algebra2005,question,classical,pfa_recency,3,none,0.03702595758526504,0.041347853411278376,isotonic,isotonic
algebra2005,question,classical,pfa_recency,3,platt,0.017817428256431088,0.020070513686392944,isotonic,isotonic
algebra2005,question,classical,pfa_recency,3,isotonic,0.005395114252848775,0.0078977968134077,isotonic,isotonic
algebra2005,question,classical,pfa_recency,3,temperature,0.055203661834752595,0.05520366183475251,isotonic,isotonic
algebra2005,question,classical,pfa_recency,4,none,0.039285808882673585,0.04009410895347927,isotonic,isotonic
algebra2005,question,classical,pfa_recency,4,platt,0.01856001788100607,0.01878273639231413,isotonic,isotonic
algebra2005,question,classical,pfa_recency,4,isotonic,0.005632288918054403,0.006479308612957182,isotonic,isotonic
algebra2005,question,classical,pfa_recency,4,temperature,0.05402058515009965,0.05402058515009983,isotonic,isotonic
algebra2005,question,classical,elorasch,0,none,0.06304581549755381,0.06273474190651526,temperature,temperature
algebra2005,question,classical,elorasch,0,platt,0.017468164271805198,0.016739049795928055,temperature,temperature
algebra2005,question,classical,elorasch,0,isotonic,0.011887754420092355,0.011453200288974532,temperature,temperature
algebra2005,question,classical,elorasch,0,temperature,0.0112363835379638,0.011204931929527961,temperature,temperature
algebra2005,question,classical,elorasch,1,none,0.0639552729945456,0.06252394592978223,temperature,temperature
algebra2005,question,classical,elorasch,1,platt,0.023675306599975104,0.021707154924816136,temperature,temperature
algebra2005,question,classical,elorasch,1,isotonic,0.024033860947918394,0.022851994848986354,temperature,temperature
algebra2005,question,classical,elorasch,1,temperature,0.015767758023648715,0.013278479619832913,temperature,temperature
algebra2005,question,classical,elorasch,2,none,0.06046449357305395,0.060322374443350604,isotonic,isotonic
algebra2005,question,classical,elorasch,2,platt,0.016295525170571402,0.014847161094257445,isotonic,isotonic
algebra2005,question,classical,elorasch,2,isotonic,0.008473611934882372,0.009311140045748732,isotonic,isotonic
algebra2005,question,classical,elorasch,2,temperature,0.011764524114058086,0.010939406431725859,isotonic,isotonic
algebra2005,question,classical,elorasch,3,none,0.06188932369459448,0.062141044733233106,isotonic,isotonic
