dataset,model,fold,method,ece,auc,brier,n_test,n_valid,pipeline
assist2012,simplekt,2,temperature,0.005922,0.771,0.168507,536087,424912,leakfree_pykt_v4
assist2012,simplekt,3,none,0.015158,0.770207,0.16909,536087,419158,leakfree_pykt_v4
assist2012,simplekt,3,platt,0.003156,0.770207,0.168754,536087,419158,leakfree_pykt_v4
assist2012,simplekt,3,isotonic,0.002642,0.770158,0.168789,536087,419158,leakfree_pykt_v4
assist2012,simplekt,3,temperature,0.01494,0.770207,0.16909,536087,419158,leakfree_pykt_v4
assist2012,simplekt,4,none,0.015865,0.770697,0.168812,536087,423475,leakfree_pykt_v4
assist2012,simplekt,4,platt,0.005434,0.770697,0.168558,536087,423475,leakfree_pykt_v4
assist2012,simplekt,4,isotonic,0.001477,0.770623,0.168556,536087,423475,leakfree_pykt_v4
assist2012,simplekt,4,temperature,0.01103,0.770697,0.168706,536087,423475,leakfree_pykt_v4
assist2017,akt,0,none,0.015587,0.758263,0.188321,177767,153067,leakfree_pykt_v4
assist2017,akt,0,platt,0.004304,0.758263,0.187967,177767,153067,leakfree_pykt_v4
assist2017,akt,0,isotonic,0.003976,0.758198,0.188037,177767,153067,leakfree_pykt_v4
assist2017,akt,0,temperature,0.014491,0.758263,0.18822,177767,153067,leakfree_pykt_v4
assist2017,akt,1,none,0.015453,0.758171,0.188319,177767,141938,leakfree_pykt_v4
assist2017,akt,1,platt,0.005369,0.758171,0.188016,177767,141938,leakfree_pykt_v4
assist2017,akt,1,isotonic,0.004721,0.758095,0.188063,177767,141938,leakfree_pykt_v4
assist2017,akt,1,temperature,0.014058,0.758171,0.18824,177767,141938,leakfree_pykt_v4
assist2017,akt,2,none,0.017787,0.757625,0.18869,177767,145879,leakfree_pykt_v4
assist2017,akt,2,platt,0.005171,0.757625,0.188187,177767,145879,leakfree_pykt_v4
assist2017,akt,2,isotonic,0.0048,0.757523,0.18826,177767,145879,leakfree_pykt_v4
assist2017,akt,2,temperature,0.019724,0.757625,0.188642,177767,145879,leakfree_pykt_v4
assist2017,akt,3,none,0.017114,0.758611,0.188194,177767,168980,leakfree_pykt_v4
assist2017,akt,3,platt,0.003784,0.758611,0.187803,177767,168980,leakfree_pykt_v4
assist2017,akt,3,isotonic,0.005585,0.758481,0.187874,177767,168980,leakfree_pykt_v4
assist2017,akt,3,temperature,0.015742,0.758611,0.188113,177767,168980,leakfree_pykt_v4
assist2017,akt,4,none,0.021238,0.759508,0.188446,177767,149617,leakfree_pykt_v4
assist2017,akt,4,platt,0.006388,0.759508,0.18763,177767,149617,leakfree_pykt_v4
assist2017,akt,4,isotonic,0.005736,0.759399,0.187685,177767,149617,leakfree_pykt_v4
assist2017,akt,4,temperature,0.023599,0.759508,0.188225,177767,149617,leakfree_pykt_v4
assist2017,dkt,0,none,0.013516,0.716836,0.201318,177767,153067,leakfree_pykt_v4
assist2017,dkt,0,platt,0.004968,0.716836,0.201063,177767,153067,leakfree_pykt_v4
assist2017,dkt,0,isotonic,0.005629,0.716743,0.201131,177767,153067,leakfree_pykt_v4
assist2017,dkt,0,temperature,0.014521,0.716836,0.20131,177767,153067,leakfree_pykt_v4
assist2017,dkt,1,none,0.022204,0.716318,0.201977,177767,141938,leakfree_pykt_v4
assist2017,dkt,1,platt,0.004814,0.716318,0.201275,177767,141938,leakfree_pykt_v4
assist2017,dkt,1,isotonic,0.004972,0.716113,0.201372,177767,141938,leakfree_pykt_v4
assist2017,dkt,1,temperature,0.02497,0.716318,0.201973,177767,141938,leakfree_pykt_v4
assist2017,dkt,2,none,0.011071,0.713119,0.202184,177767,145879,leakfree_pykt_v4
assist2017,dkt,2,platt,0.005984,0.713119,0.202091,177767,145879,leakfree_pykt_v4
