dataset,granularity,family,model,fold,method,axis,q_low,q_high,ece_low,ece_high,ece_overall,ratio_low_over_high,ratio_low_over_overall,delta_ece,ci_low,ci_high,p,equalized_ce,n_students_low,n_students_high,n_eval_rows,selected_on_outcome,family_key,p_holm,reject_holm,family_size
ednet,concept,deep,dkt,4,none,ability_prefix20,0,3,0.013953551626145044,0.015849210565590598,0.010676367504717831,0.8803941097507328,1.3069568483830332,-0.001895658939445554,-0.008892608917039474,0.009517967868431057,0.718928107189281,0.005172843060872767,102,133,287011,False,concept|ability_prefix20|none|f4,1.0,False,28
ednet,concept,deep,dkt,4,platt,ability_prefix20,0,3,0.017536341700502237,0.018344772612131573,0.013325698841569264,0.9559312656132508,1.3159791399305791,-0.0008084309116293369,-0.008422315603258033,0.01002182855976526,0.8767123287671232,0.005019073770562309,102,133,287011,False,concept|ability_prefix20|platt|f4,1.0,False,28
ednet,concept,deep,dkt,4,isotonic,ability_prefix20,0,3,0.01227508958912303,0.010593295769351788,0.004574675542304392,1.1587602061142253,2.68326998835413,0.0016817938197712413,-0.007515455515973852,0.01415545537694867,0.8267173282671733,0.0077004140468186376,102,133,287011,False,concept|ability_prefix20|isotonic|f4,1.0,False,28
ednet,concept,deep,dkt,4,temperature,ability_prefix20,0,3,0.018770799236589458,0.01742516510860848,0.012181204003834215,1.0772236084762377,1.5409641962059801,0.0013456341279809783,-0.007405034263449529,0.012966837462138725,0.8293170682931706,0.006589595232755242,102,133,287011,False,concept|ability_prefix20|temperature|f4,1.0,False,28
ednet,concept,deep,dkt,4,none,history,0,3,0.04985624072984531,0.011087559192485445,0.010247123652509809,4.496592970943074,4.865388807681082,0.038768681537359864,0.019475259327614004,0.06665656435985116,0.00019998000199980003,0.0428453392427616,31,218,292426,False,concept|history|none|f4,0.005599440055994401,True,28
ednet,concept,deep,dkt,4,platt,history,0,3,0.04459911821201661,0.013613486228047849,0.012965089157886505,3.2760982355958976,3.4399391835178794,0.030985631983968764,0.015679872483005588,0.0607449923529987,0.00019998000199980003,0.03733661412798421,31,218,292426,False,concept|history|platt|f4,0.005599440055994401,True,28
ednet,concept,deep,dkt,4,isotonic,history,0,3,0.050443559675272025,0.005021118542070779,0.004136288915579817,10.046279380304853,12.195366596678111,0.04542244113320125,0.023560465020015714,0.07274614093413403,0.00019998000199980003,0.05391152052794017,31,218,292426,False,concept|history|isotonic|f4,0.005599440055994401,True,28
ednet,concept,deep,dkt,4,temperature,history,0,3,0.05000776793467707,0.012515985978197608,0.01214619294905402,3.995511661789074,4.1171557330292385,0.03749178195647947,0.017395331952069902,0.06527235407824097,0.00019998000199980003,0.04153745334390731,31,218,292426,False,concept|history|temperature|f4,0.005599440055994401,True,28
ednet,concept,deep,dkt,4,none,rt,0,3,0.01584002819795198,0.01304227714128881,0.010247123652509809,1.2145140013783438,1.5458023866114188,0.00279775105666317,-0.0064760283428934515,0.009122391806969901,0.6485351464853515,0.005592904545442172,143,130,292426,False,concept|rt|none|f4,1.0,False,20
ednet,concept,deep,dkt,4,platt,rt,0,3,0.013319150741115575,0.01700312618591847,0.012965089157886505,0.7833354052354289,1.027308842917883,-0.0036839754448028932,-0.011121959639047376,0.0027891655105225753,0.2783721627837216,0.004038037028031963,143,130,292426,False,concept|rt|platt|f4,1.0,False,20
