dataset,granularity,family,model,fold,contrast,method_a,method_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,n_test,family_key,p_holm,reject_holm,family_size
algebra2005,question,deep,akt,3,iso_vs_none,isotonic,none,0.003602366896473805,0.03547684221851649,-0.031874475322042684,-0.03413527900785019,-0.021660955745487532,0.00019998000199980003,114,92945,question|f3|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,akt,3,best_vs_runnerup,isotonic,temperature,0.003602366896473805,0.016938577330694544,-0.01333621043422074,-0.015067720952352934,-0.005766072679723681,0.0013998600139986002,114,92945,question|f3|best_vs_runnerup,0.06439356064393562,False,52
algebra2005,question,deep,akt,4,iso_vs_none,isotonic,none,0.0038247446275455413,0.02655652267470019,-0.02273177804715465,-0.025064357235081682,-0.013730891241834384,0.00019998000199980003,114,92945,question|f4|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,akt,4,best_vs_runnerup,isotonic,temperature,0.0038247446275455413,0.016118439941207315,-0.012293695313661774,-0.01652512654203114,-0.0010025014520575436,0.029197080291970802,114,92945,question|f4|best_vs_runnerup,0.9343065693430657,False,52
algebra2005,question,deep,simplekt,0,iso_vs_none,isotonic,none,0.008114021450333847,0.05390192909785373,-0.04578790764751989,-0.053638715702894066,-0.03401178656894132,0.00019998000199980003,114,92945,question|f0|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,simplekt,0,best_vs_runnerup,isotonic,platt,0.008114021450333847,0.008114205955853708,-1.8450551986064212e-07,-0.0025591299649137724,0.0004546712022655436,0.39936006399360063,114,92945,question|f0|best_vs_runnerup,1.0,False,52
algebra2005,question,deep,simplekt,1,iso_vs_none,isotonic,none,0.011320260666461628,0.04926466189682044,-0.03794440123035881,-0.048431450571141794,-0.022545336015868785,0.00019998000199980003,114,92945,question|f1|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,simplekt,1,best_vs_runnerup,isotonic,platt,0.011320260666461628,0.017339394079326297,-0.006019133412864669,-0.0113206425721623,-7.796815954797208e-05,0.026197380261973803,114,92945,question|f1|best_vs_runnerup,0.8121187881211879,False,52
algebra2005,question,deep,simplekt,2,iso_vs_none,isotonic,none,0.004745092357259205,0.0654253666146645,-0.06068027425740529,-0.06551138298662607,-0.04665682920449349,0.00019998000199980003,114,92945,question|f2|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,simplekt,2,best_vs_runnerup,isotonic,platt,0.004745092357259205,0.009945991289896249,-0.005200898932637044,-0.007121448744256048,-0.00025361752144788203,0.019998000199980003,114,92945,question|f2|best_vs_runnerup,0.6999300069993001,False,52
algebra2005,question,deep,simplekt,3,iso_vs_none,isotonic,none,0.0029702847470003415,0.0668053633869497,-0.06383507863994936,-0.0655590920436024,-0.05298263326054349,0.00019998000199980003,114,92945,question|f3|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,simplekt,3,best_vs_runnerup,isotonic,platt,0.0029702847470003415,0.01067053552628573,-0.0077002507792853885,-0.00937447669617284,-0.0012605292744443698,0.0035996400359964,114,92945,question|f3|best_vs_runnerup,0.161983801619838,False,52
algebra2005,question,deep,simplekt,4,iso_vs_none,isotonic,none,0.005607125769904195,0.042425616224649035,-0.03681849045474484,-0.04075589221483505,-0.028577033301764365,0.00019998000199980003,114,92945,question|f4|iso_vs_none,0.010398960103989602,True,52
algebra2005,question,deep,simplekt,4,best_vs_runnerup,isotonic,platt,0.005607125769904195,0.022666623861301905,-0.017059498091397708,-0.01993532610802394,-0.009348096299310264,0.00019998000199980003,114,92945,question|f4|best_vs_runnerup,0.010398960103989602,True,52
algebra2005,question,classical,bkt,0,iso_vs_none,isotonic,none,0.015110266657257995,0.011568025069136246,0.003542241588121749,-0.01015324547363132,0.01097930737475877,0.6367363263673632,114,93595,question|f0|iso_vs_none,1.0,False,52
algebra2005,question,classical,bkt,0,best_vs_runnerup,none,temperature,0.011568025069136246,0.012506752179265392,-0.0009387271101291457,-0.0036751313270983106,0.004466091260434858,0.8871112888711129,114,93595,question|f0|best_vs_runnerup,1.0,False,52
algebra2005,question,classical,bkt,1,iso_vs_none,isotonic,none,0.015133122592670823,0.014804421071967219,0.0003287015207036042,-0.00949268354464249,0.00970862865085338,0.9295070492950704,114,93595,question|f1|iso_vs_none,1.0,False,52
algebra2005,question,classical,bkt,1,best_vs_runnerup,temperature,none,0.012128590041425767,0.014804421071967219,-0.0026758310305414514,-0.003458398540300714,0.0020174681959390715,0.6563343665633437,114,93595,question|f1|best_vs_runnerup,1.0,False,52
algebra2005,question,classical,bkt,2,iso_vs_none,isotonic,none,0.006888366980513815,0.010821430607099707,-0.003933063626585892,-0.0077727815401268645,0.0010793232930329541,0.13838616138386162,114,93595,question|f2|iso_vs_none,1.0,False,52
